MaxN

Generated: Monday 28 March 2022 16:45:37

Filename	Frame	Time (HMS)	Period	Period time (HMS)	OpCode	TapeReader	Depth	Comment									Family	Genus	Species	Code	MaxN	Has fed
PL_L_WILL_14-2-21_P01.MP4	  17471	00:09:42.95	T2	00:01:07.27	Willis_Feb21	GFG	32m										Labridae	Thalassoma	amblycephalum	37384164	1	No
PL_L_WILL_14-2-21_P05.MP4	   6099	00:43:25.90	T10	00:01:43.30	Willis_Feb21	GFG	32m										Lethrinidae	Gnathodentex	aureolineatus	37351021	2	No
PL_L_WILL_14-2-21_P01.MP4	   5655	00:03:08.69	T1	00:00:12.98	Willis_Feb21	GFG	32m										Lethrinidae	Gymnocranius			1	No
PL_L_WILL_14-2-21_P05.MP4	   4949	00:42:47.53	T10	00:01:04.93	Willis_Feb21	GFG	32m										Lethrinidae	Monotaxis	grandoculis	37351026	1	No
PL_L_WILL_14-2-21_P08.MP4	   1335	01:10:48.74	T15	00:01:33.19	Willis_Feb21	GFG	32m										Lutjanidae	Lutjanus	kasmira	37346044	1	No
PL_L_WILL_14-2-21_P02.MP4	   2150	00:11:12.34	T2	00:02:36.66	Willis_Feb21	GFG	32m										Malacanthidae	Hoplolatilus			2	No
PL_L_WILL_14-2-21_P01.MP4	  15626	00:08:41.39	T2	00:00:05.71	Willis_Feb21	GFG	32m										Microdesmidae	Ptereleotris	evides	37435015	2	No
PL_L_WILL_14-2-21_P05.MP4	  12675	00:47:05.32	T11	00:02:00.02	Willis_Feb21	GFG	32m										Monacanthidae	Cantherhines	dumerilii	37465050	2	No
PL_L_WILL_14-2-21_P01.MP4	  17648	00:09:48.85	T2	00:01:13.17	Willis_Feb21	GFG	32m										Mullidae	Parupeneus	multifasciatus	37355026	2	No
PL_L_WILL_14-2-21_P07.MP4	   7103	01:04:00.60	T14	00:00:09.08	Willis_Feb21	GFG	32m										Mullidae	Parupeneus	pleurostigma	37355027	1	No
PL_L_WILL_14-2-21_P08.MP4	    306	01:10:14.41	T15	00:00:58.86	Willis_Feb21	GFG	32m										Pomacanthidae	Centropyge			2	No
PL_L_WILL_14-2-21_P01.MP4	  17131	00:09:31.60	T2	00:00:55.92	Willis_Feb21	GFG	32m										Pomacanthidae	Centropyge	flavissima	37365026	2	No
PL_L_WILL_14-2-21_P05.MP4	   5746	00:43:14.12	T10	00:01:31.52	Willis_Feb21	GFG	32m										Pomacanthidae	Centropyge	sp		1	No
PL_L_WILL_14-2-21_P02.MP4	   8021	00:14:28.23	T3	00:01:15.81	Willis_Feb21	GFG	32m										Pomacanthidae	Chaetodontoplus	sp		1	No
PL_L_WILL_14-2-21_P05.MP4	   5191	00:42:55.61	T10	00:01:13.01	Willis_Feb21	GFG	32m										Pomacanthidae	Genicanthus			5	No
PL_L_WILL_14-2-21_P01.MP4	  17351	00:09:38.95	T2	00:01:03.26	Willis_Feb21	GFG	32m										Pomacanthidae	Pygoplites	diacanthus	37365082	2	No
PL_L_WILL_14-2-21_P07.MP4	  10410	01:05:50.95	T14	00:01:59.42	Willis_Feb21	GFG	32m										Pomacentridae	Acanthochromis	polyacanthus	37372015	12	No
PL_L_WILL_14-2-21_P01.MP4	   9404	00:05:13.78	T1	00:02:18.07	Willis_Feb21	GFG	32m										Pomacentridae	Chromis			16	No
PL_L_WILL_14-2-21_P07.MP4	  10573	01:05:56.39	T14	00:02:04.86	Willis_Feb21	GFG	32m										Pomacentridae	Chromis	alpha	37372033	1	No
PL_L_WILL_14-2-21_P01.MP4	   9987	00:05:33.23	T1	00:02:37.52	Willis_Feb21	GFG	32m										Pomacentridae	Chromis	amboinensis	37372034	14	No
PL_L_WILL_14-2-21_P01.MP4	  15773	00:08:46.29	T2	00:00:10.61	Willis_Feb21	GFG	32m										Pomacentridae	Chromis	atripes	37372037	6	No
PL_L_WILL_14-2-21_P06.MP4	   9936	00:55:34.53	T12	00:01:07.10	Willis_Feb21	GFG	32m										Pomacentridae	Chromis	margaritifer	37372047	4	No
PL_L_WILL_14-2-21_P02.MP4	   2150	00:11:12.34	T2	00:02:36.66	Willis_Feb21	GFG	32m										Pomacentridae	Chromis	sp		12	No
PL_L_WILL_14-2-21_P03.MP4	   5543	00:23:06.15	T5	00:02:34.29	Willis_Feb21	GFG	32m										Pomacentridae	Chromis	ternatensis	37372051	6	No
PL_L_WILL_14-2-21_P03.MP4	  11761	00:26:33.63	T6	00:02:26.78	Willis_Feb21	GFG	32m										Pomacentridae	Chromis	xanthochira	37372056	3	No
PL_L_WILL_14-2-21_P04.MP4	   1223	00:30:42.61	T7	00:02:18.77	Willis_Feb21	GFG	32m										Pomacentridae	Chrysiptera			6	No
PL_L_WILL_14-2-21_P07.MP4	   9994	01:05:37.07	T14	00:01:45.54	Willis_Feb21	GFG	32m										Pomacentridae	Dascyllus	reticulatus	37372074	13	No
PL_L_WILL_14-2-21_P05.MP4	  12675	00:47:05.32	T11	00:02:00.02	Willis_Feb21	GFG	32m										Pomacentridae	Pomacentrus	sp		7	No
PL_L_WILL_14-2-21_P01.MP4	   6308	00:03:30.48	T1	00:00:34.77	Willis_Feb21	GFG	32m										Scaridae	Hipposcarus	longiceps	37386008	1	No
PL_L_WILL_14-2-21_P01.MP4	  17067	00:09:29.47	T2	00:00:53.79	Willis_Feb21	GFG	32m										Scaridae	Scarus			2	No
PL_L_WILL_14-2-21_P07.MP4	  17223	01:09:38.27	T15	00:00:22.72	Willis_Feb21	GFG	32m										Scaridae	Scarus	dimidiatus	37386013	1	No
PL_L_WILL_14-2-21_P01.MP4	   9243	00:05:08.41	T1	00:02:12.70	Willis_Feb21	GFG	32m										Scaridae	Scarus	flavipectoralis	37386014	1	No
PL_L_WILL_14-2-21_P05.MP4	  11672	00:46:31.86	T11	00:01:26.55	Willis_Feb21	GFG	32m										Scaridae	Scarus	sp		1	No
PL_L_WILL_14-2-21_P01.MP4	   7246	00:04:01.77	T1	00:01:06.07	Willis_Feb21	GFG	32m										Serranidae	Plectropomus	leopardus	37311078	1	No
PL_L_WILL_14-2-21_P02.MP4	   5823	00:13:14.89	T3	00:00:02.47	Willis_Feb21	GFG	32m										Serranidae	Pseudanthias	pleurotaenia	37311123	4	No
PL_L_WILL_14-2-21_P01.MP4	  17526	00:09:44.78	T2	00:01:09.10	Willis_Feb21	GFG	32m										Serranidae	Variola	louti	37311166	1	No
PL_L_WILL_14-2-21_P05.MP4	  11888	00:46:39.06	T11	00:01:33.76	Willis_Feb21	GFG	32m										Zanclidae	Zanclus	cornutus	37437001	1	No
