Filename,Frame,Time (HMS),Period,Period time (HMS),OpCode,TapeReader,Depth,Comment,Family,Genus,Species,Code,MaxN,Has fed
PL_L_WILL_14-2-21_P01.MP4,5655,03:08.7,T1,00:13.0,Willis_Feb21,GFG,32m,,Lethrinidae,Gymnocranius,,,1,No
PL_L_WILL_14-2-21_P05.MP4,4949,42:47.5,T10,01:04.9,Willis_Feb21,GFG,32m,,Lethrinidae,Monotaxis,grandoculis,37351026,1,No
PL_L_WILL_14-2-21_P08.MP4,1335,10:48.7,T15,01:33.2,Willis_Feb21,GFG,32m,,Lutjanidae,Lutjanus,kasmira,37346044,1,No
PL_L_WILL_14-2-21_P02.MP4,2150,11:12.3,T2,02:36.7,Willis_Feb21,GFG,32m,,Malacanthidae,Hoplolatilus,,,2,No
PL_L_WILL_14-2-21_P01.MP4,15626,08:41.4,T2,00:05.7,Willis_Feb21,GFG,32m,,Microdesmidae,Ptereleotris,evides,37435015,2,No
PL_L_WILL_14-2-21_P05.MP4,12675,47:05.3,T11,02:00.0,Willis_Feb21,GFG,32m,,Monacanthidae,Cantherhines,dumerilii,37465050,2,No
PL_L_WILL_14-2-21_P01.MP4,17648,09:48.9,T2,01:13.2,Willis_Feb21,GFG,32m,,Mullidae,Parupeneus,multifasciatus,37355026,2,No
PL_L_WILL_14-2-21_P07.MP4,7103,04:00.6,T14,00:09.1,Willis_Feb21,GFG,32m,,Mullidae,Parupeneus,pleurostigma,37355027,1,No
PL_L_WILL_14-2-21_P08.MP4,306,10:14.4,T15,00:58.9,Willis_Feb21,GFG,32m,,Pomacanthidae,Centropyge,,,2,No
PL_L_WILL_14-2-21_P01.MP4,17131,09:31.6,T2,00:55.9,Willis_Feb21,GFG,32m,,Pomacanthidae,Centropyge,flavissima,37365026,2,No
PL_L_WILL_14-2-21_P05.MP4,5746,43:14.1,T10,01:31.5,Willis_Feb21,GFG,32m,,Pomacanthidae,Centropyge,sp,,1,No
PL_L_WILL_14-2-21_P02.MP4,8021,14:28.2,T3,01:15.8,Willis_Feb21,GFG,32m,,Pomacanthidae,Chaetodontoplus,sp,,1,No
PL_L_WILL_14-2-21_P05.MP4,5191,42:55.6,T10,01:13.0,Willis_Feb21,GFG,32m,,Pomacanthidae,Genicanthus,,,5,No
PL_L_WILL_14-2-21_P01.MP4,17351,09:39.0,T2,01:03.3,Willis_Feb21,GFG,32m,,Pomacanthidae,Pygoplites,diacanthus,37365082,2,No
PL_L_WILL_14-2-21_P07.MP4,10410,05:51.0,T14,01:59.4,Willis_Feb21,GFG,32m,,Pomacentridae,Acanthochromis,polyacanthus,37372015,12,No
PL_L_WILL_14-2-21_P01.MP4,9404,05:13.8,T1,02:18.1,Willis_Feb21,GFG,32m,,Pomacentridae,Chromis,,,16,No
PL_L_WILL_14-2-21_P07.MP4,10573,05:56.4,T14,02:04.9,Willis_Feb21,GFG,32m,,Pomacentridae,Chromis,alpha,37372033,1,No
PL_L_WILL_14-2-21_P01.MP4,9987,05:33.2,T1,02:37.5,Willis_Feb21,GFG,32m,,Pomacentridae,Chromis,amboinensis,37372034,14,No
PL_L_WILL_14-2-21_P01.MP4,15773,08:46.3,T2,00:10.6,Willis_Feb21,GFG,32m,,Pomacentridae,Chromis,atripes,37372037,6,No
PL_L_WILL_14-2-21_P06.MP4,9936,55:34.5,T12,01:07.1,Willis_Feb21,GFG,32m,,Pomacentridae,Chromis,margaritifer,37372047,4,No
PL_L_WILL_14-2-21_P02.MP4,2150,11:12.3,T2,02:36.7,Willis_Feb21,GFG,32m,,Pomacentridae,Chromis,sp,,12,No
PL_L_WILL_14-2-21_P03.MP4,5543,23:06.2,T5,02:34.3,Willis_Feb21,GFG,32m,,Pomacentridae,Chromis,ternatensis,37372051,6,No
PL_L_WILL_14-2-21_P03.MP4,11761,26:33.6,T6,02:26.8,Willis_Feb21,GFG,32m,,Pomacentridae,Chromis,xanthochira,37372056,3,No
PL_L_WILL_14-2-21_P04.MP4,1223,30:42.6,T7,02:18.8,Willis_Feb21,GFG,32m,,Pomacentridae,Chrysiptera,,,6,No
PL_L_WILL_14-2-21_P07.MP4,9994,05:37.1,T14,01:45.5,Willis_Feb21,GFG,32m,,Pomacentridae,Dascyllus,reticulatus,37372074,13,No
PL_L_WILL_14-2-21_P05.MP4,12675,47:05.3,T11,02:00.0,Willis_Feb21,GFG,32m,,Pomacentridae,Pomacentrus,sp,,7,No
PL_L_WILL_14-2-21_P01.MP4,6308,03:30.5,T1,00:34.8,Willis_Feb21,GFG,32m,,Scaridae,Hipposcarus,longiceps,37386008,1,No
PL_L_WILL_14-2-21_P01.MP4,17067,09:29.5,T2,00:53.8,Willis_Feb21,GFG,32m,,Scaridae,Scarus,,,2,No
PL_L_WILL_14-2-21_P07.MP4,17223,09:38.3,T15,00:22.7,Willis_Feb21,GFG,32m,,Scaridae,Scarus,dimidiatus,37386013,1,No
PL_L_WILL_14-2-21_P01.MP4,9243,05:08.4,T1,02:12.7,Willis_Feb21,GFG,32m,,Scaridae,Scarus,flavipectoralis,37386014,1,No
PL_L_WILL_14-2-21_P05.MP4,11672,46:31.9,T11,01:26.6,Willis_Feb21,GFG,32m,,Scaridae,Scarus,sp,,1,No
PL_L_WILL_14-2-21_P01.MP4,7246,04:01.8,T1,01:06.1,Willis_Feb21,GFG,32m,,Serranidae,Plectropomus,leopardus,37311078,1,No
PL_L_WILL_14-2-21_P02.MP4,5823,13:14.9,T3,00:02.5,Willis_Feb21,GFG,32m,,Serranidae,Pseudanthias,pleurotaenia,37311123,4,No
PL_L_WILL_14-2-21_P01.MP4,17526,09:44.8,T2,01:09.1,Willis_Feb21,GFG,32m,,Serranidae,Variola,louti,37311166,1,No
PL_L_WILL_14-2-21_P05.MP4,11888,46:39.1,T11,01:33.8,Willis_Feb21,GFG,32m,,Zanclidae,Zanclus,cornutus,37437001,1,No
