"Survey","Reef","Site","Drop","Frame","Depth","Comment","Family","Genus","Species","Code","MaxN","Species_name","T_ID","Date","Lat","Long","Habitat","Aspect","Benthic_Complexity"
"Oct_21","Ashmore","Ashmore_1","D4",43099,"28",NA,"Lutjanidae","Lutjanus","rivulatus",37346016,1,"Lutjanus rivulatus","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_1","D4",34689,"28",NA,"Mullidae","Parupeneus","heptacanthus",37355004,4,"Parupeneus heptacanthus","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_1","D4",18711,"28",NA,"Mullidae","Parupeneus","pleurostigma",37355027,4,"Parupeneus pleurostigma","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_1","D4",19232,"28","flavipinnis","Pomacentridae","Chrysiptera","flavipinnis",NA,1,"Chrysiptera flavipinnis","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_1","D4",19072,"28","amboinensis","Pomacentridae","Pomacentrus","amboinensis",NA,3,"Pomacentrus amboinensis","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_1","D4",19072,"28",NA,"Pomacentridae","Pomacentrus","nagasakiensis",37372119,2,"Pomacentrus nagasakiensis","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_1","D4",19232,"28",NA,"Pomacentridae","Pomacentrus","pavo",37372122,5,"Pomacentrus pavo","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_1","D4",38950,"28",NA,"Serranidae","Plectropomus","leopardus",37311078,2,"Plectropomus leopardus","Oct_21_Ashmore_1_D4","1/11/2021",10.37157,144.5317,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_1","D5",52016,"32",NA,"Balistidae","Pseudobalistes","flavimarginatus",37465071,1,"Pseudobalistes flavimarginatus","Oct_21_Ashmore_1_D5","1/11/2021",10.36619,144.53278,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_1","D5",40045,"32",NA,"Carangidae","Carangoides","ferdau",37337068,1,"Carangoides ferdau","Oct_21_Ashmore_1_D5","1/11/2021",10.36619,144.53278,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_1","D5",26394,"32",NA,"Lethrinidae","Gymnocranius","grandoculis",37351005,1,"Gymnocranius grandoculis","Oct_21_Ashmore_1_D5","1/11/2021",10.36619,144.53278,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_1","D5",34961,"32",NA,"Lethrinidae","Lethrinus","olivaceus",37351004,1,"Lethrinus olivaceus","Oct_21_Ashmore_1_D5","1/11/2021",10.36619,144.53278,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_1","D5",32869,"32",NA,"Lutjanidae","Lutjanus","bohar",37346029,1,"Lutjanus bohar","Oct_21_Ashmore_1_D5","1/11/2021",10.36619,144.53278,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_2","D10",41409,"27",NA,"Acanthuridae","Acanthurus","blochii",37437007,3,"Acanthurus blochii","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_2","D10",25652,"27",NA,"Acanthuridae","Ctenochaetus","striatus",37437022,1,"Ctenochaetus striatus","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_2","D10",28259,"27",NA,"Acanthuridae","Naso","lituratus",37437029,2,"Naso lituratus","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_2","D10",11761,"27",NA,"Carcharhinidae","Carcharhinus","amblyrhynchos",37018030,1,"Carcharhinus amblyrhynchos","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_2","D10",50177,"27",NA,"Chaetodontidae","Chaetodon","lineolatus",37365041,1,"Chaetodon lineolatus","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_2","D10",19249,"27",NA,"Labridae","Labroides","dimidiatus",37384028,1,"Labroides dimidiatus","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_2","D10",1660,"27",NA,"Labridae","Oxycheilinus","unifasciatus",37384068,1,"Oxycheilinus unifasciatus","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_2","D10",33743,"27",NA,"Labridae","Thalassoma","lunare",37384167,1,"Thalassoma lunare","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_2","D10",13835,"27",NA,"Lethrinidae","Lethrinus","erythracanthus",37351025,1,"Lethrinus erythracanthus","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_2","D10",39110,"27","aureofasciatus","Nemipteridae","Pentapodus","aureofasciatus",NA,1,"Pentapodus aureofasciatus","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_2","D10",25978,"27","bicolor","Pomacanthidae","Centropyge","bicolor",NA,1,"Centropyge bicolor","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_2","D10",26421,"27",NA,"Pomacanthidae","Centropyge","bispinosa",37365023,1,"Centropyge bispinosa","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_2","D10",33438,"27",NA,"Pomacanthidae","Pygoplites","diacanthus",37365082,1,"Pygoplites diacanthus","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_2","D10",31018,"27","retrofasciata","Pomacentridae","Chromis","retrofasciata",NA,4,"Chromis retrofasciata","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_2","D10",48019,"27",NA,"Pomacentridae","Pomachromis","richardsoni",37372128,1,"Pomachromis richardsoni","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_2","D10",33530,"27",NA,"Scaridae","Scarus","chameleon",37386012,1,"Scarus chameleon","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_2","D10",33877,"27",NA,"Scaridae","Scarus","schlegeli",37386029,1,"Scarus schlegeli","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_2","D10",9254,"27",NA,"Serranidae","Plectropomus","laevis",37311079,1,"Plectropomus laevis","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_2","D10",17471,"27",NA,"Serranidae","Plectropomus","leopardus",37311078,2,"Plectropomus leopardus","Oct_21_Ashmore_2_D10","2/11/2021",10.22612,144.58854,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_2","D9",1807,"37",NA,"Acanthuridae","Acanthurus","dussumieri",37437008,1,"Acanthurus dussumieri","Oct_21_Ashmore_2_D9","2/11/2021",10.22268,144.58618,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_2","D9",122,"37",NA,"Balistidae","Pseudobalistes","flavimarginatus",37465071,1,"Pseudobalistes flavimarginatus","Oct_21_Ashmore_2_D9","2/11/2021",10.22268,144.58618,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_2","D9",44886,"37",NA,"Carangidae","Carangoides","ferdau",37337068,13,"Carangoides ferdau","Oct_21_Ashmore_2_D9","2/11/2021",10.22268,144.58618,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_2","D9",25947,"37",NA,"Carangidae","Elagatis","bipinnulata",37337029,50,"Elagatis bipinnulata","Oct_21_Ashmore_2_D9","2/11/2021",10.22268,144.58618,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_2","D9",28644,"37",NA,"Carcharhinidae","Carcharhinus","albimarginatus",37018027,1,"Carcharhinus albimarginatus","Oct_21_Ashmore_2_D9","2/11/2021",10.22268,144.58618,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_2","D9",32109,"37",NA,"Carcharhinidae","Carcharhinus","amblyrhynchos",37018030,1,"Carcharhinus amblyrhynchos","Oct_21_Ashmore_2_D9","2/11/2021",10.22268,144.58618,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_3","D11",45718,"32",NA,"Acanthuridae","Acanthurus","pyroferus",37437017,2,"Acanthurus pyroferus","Oct_21_Ashmore_3_D11","3/11/2021",10.22652,144.58734,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_3","D11",50593,"32",NA,"Acanthuridae","Naso","lituratus",37437029,1,"Naso lituratus","Oct_21_Ashmore_3_D11","3/11/2021",10.22652,144.58734,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_3","D11",1089,"32",NA,"Balistidae","Balistapus","undulatus",37465047,1,"Balistapus undulatus","Oct_21_Ashmore_3_D11","3/11/2021",10.22652,144.58734,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_3","D11",7809,"32",NA,"Balistidae","Pseudobalistes","flavimarginatus",37465071,1,"Pseudobalistes flavimarginatus","Oct_21_Ashmore_3_D11","3/11/2021",10.22652,144.58734,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_3","D11",42925,"32",NA,"Chaetodontidae","Chaetodon","auriga",37365019,2,"Chaetodon auriga","Oct_21_Ashmore_3_D11","3/11/2021",10.22652,144.58734,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_3","D11",55704,"32",NA,"Epinephelidae","Epinephelus","polyphekadion",37311047,1,"Epinephelus polyphekadion","Oct_21_Ashmore_3_D11","3/11/2021",10.22652,144.58734,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_3","D11",48193,"32",NA,"Labridae","Bodianus","mesothorax",37384060,1,"Bodianus mesothorax","Oct_21_Ashmore_3_D11","3/11/2021",10.22652,144.58734,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_3","D11",60073,"32",NA,"Labridae","Cheilinus","fasciatus",37384066,1,"Cheilinus fasciatus","Oct_21_Ashmore_3_D11","3/11/2021",10.22652,144.58734,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_3","D11",6058,"32",NA,"Labridae","Cheilinus","undulatus",37384038,1,"Cheilinus undulatus","Oct_21_Ashmore_3_D11","3/11/2021",10.22652,144.58734,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_3","D11",27783,"32",NA,"Lethrinidae","Lethrinus","erythracanthus",37351025,1,"Lethrinus erythracanthus","Oct_21_Ashmore_3_D11","3/11/2021",10.22652,144.58734,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_3","D11",49490,"32",NA,"Lutjanidae","Lutjanus","bohar",37346029,1,"Lutjanus bohar","Oct_21_Ashmore_3_D11","3/11/2021",10.22652,144.58734,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_3","D11",13677,"32",NA,"Mullidae","Parupeneus","multifasciatus",37355026,2,"Parupeneus multifasciatus","Oct_21_Ashmore_3_D11","3/11/2021",10.22652,144.58734,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_3","D11",531,"32","aureofasciatus","Nemipteridae","Pentapodus","aureofasciatus",NA,1,"Pentapodus aureofasciatus","Oct_21_Ashmore_3_D11","3/11/2021",10.22652,144.58734,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_3","D11",42074,"32",NA,"Nemipteridae","Scolopsis","bilineata",37347031,1,"Scolopsis bilineata","Oct_21_Ashmore_3_D11","3/11/2021",10.22652,144.58734,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_3","D11",53290,"32",NA,"Serranidae","Plectropomus","leopardus",37311078,3,"Plectropomus leopardus","Oct_21_Ashmore_3_D11","3/11/2021",10.22652,144.58734,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_3","D13",23740,"42",NA,"Carangidae","Carangoides","ferdau",37337068,9,"Carangoides ferdau","Oct_21_Ashmore_3_D13","3/11/2021",10.22483,144.58263,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_3","D13",33284,"42",NA,"Carcharhinidae","Carcharhinus","albimarginatus",37018027,1,"Carcharhinus albimarginatus","Oct_21_Ashmore_3_D13","3/11/2021",10.22483,144.58263,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_3","D13",20403,"42",NA,"Lutjanidae","Lutjanus","bohar",37346029,1,"Lutjanus bohar","Oct_21_Ashmore_3_D13","3/11/2021",10.22483,144.58263,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_3","D13",34748,"42","curtorhynchos","Monacanthidae","Paramonacanthus","curtorhynchos",NA,4,"Paramonacanthus curtorhynchos","Oct_21_Ashmore_3_D13","3/11/2021",10.22483,144.58263,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_3","D14",10927,"45",NA,"Carangidae","Caranx","ignobilis",37337027,1,"Caranx ignobilis","Oct_21_Ashmore_3_D14","3/11/2021",10.22008,144.58404,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_3","D14",12966,"45",NA,"Carangidae","Elagatis","bipinnulata",37337029,1,"Elagatis bipinnulata","Oct_21_Ashmore_3_D14","3/11/2021",10.22008,144.58404,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_3","D14",26518,"45",NA,"Labridae","Cheilinus","undulatus",37384038,1,"Cheilinus undulatus","Oct_21_Ashmore_3_D14","3/11/2021",10.22008,144.58404,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_3","D14",5460,"45",NA,"Labridae","Labroides","dimidiatus",37384028,1,"Labroides dimidiatus","Oct_21_Ashmore_3_D14","3/11/2021",10.22008,144.58404,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_3","D14",39188,"45",NA,"Lethrinidae","Lethrinus","olivaceus",37351004,2,"Lethrinus olivaceus","Oct_21_Ashmore_3_D14","3/11/2021",10.22008,144.58404,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_3","D14",29764,"45",NA,"Lutjanidae","Lutjanus","bohar",37346029,1,"Lutjanus bohar","Oct_21_Ashmore_3_D14","3/11/2021",10.22008,144.58404,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_4","D16",5389,"32",NA,"Acanthuridae","Acanthurus","xanthopterus",37437020,1,"Acanthurus xanthopterus","Oct_21_Ashmore_4_D16","4/11/2021",10.24494,144.56874,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_4","D16",58220,"32",NA,"Balistidae","Pseudobalistes","flavimarginatus",37465071,2,"Pseudobalistes flavimarginatus","Oct_21_Ashmore_4_D16","4/11/2021",10.24494,144.56874,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_4","D16",4381,"32",NA,"Carangidae","Carangoides","ferdau",37337068,1,"Carangoides ferdau","Oct_21_Ashmore_4_D16","4/11/2021",10.24494,144.56874,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_4","D16",44739,"32",NA,"Carcharhinidae","Carcharhinus","albimarginatus",37018027,1,"Carcharhinus albimarginatus","Oct_21_Ashmore_4_D16","4/11/2021",10.24494,144.56874,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_4","D16",62294,"32",NA,"Carcharhinidae","Carcharhinus","amblyrhynchos",37018030,2,"Carcharhinus amblyrhynchos","Oct_21_Ashmore_4_D16","4/11/2021",10.24494,144.56874,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_4","D16",22856,"32",NA,"Carcharhinidae","Negaprion","acutidens",37018029,1,"Negaprion acutidens","Oct_21_Ashmore_4_D16","4/11/2021",10.24494,144.56874,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_4","D16",14780,"32",NA,"Carcharhinidae","Triaenodon","obesus",37018038,1,"Triaenodon obesus","Oct_21_Ashmore_4_D16","4/11/2021",10.24494,144.56874,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_4","D16",21615,"32",NA,"Chaetodontidae","Heniochus","diphreutes",37365005,1,"Heniochus diphreutes","Oct_21_Ashmore_4_D16","4/11/2021",10.24494,144.56874,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_4","D16",58279,"32","Heteroconger hassi","Congridae","Conger","Heteroconger hassi",NA,5,"Conger Heteroconger hassi","Oct_21_Ashmore_4_D16","4/11/2021",10.24494,144.56874,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_4","D16",44292,"32",NA,"Labridae","Cheilinus","undulatus",37384038,1,"Cheilinus undulatus","Oct_21_Ashmore_4_D16","4/11/2021",10.24494,144.56874,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_4","D16",38750,"32",NA,"Lethrinidae","Lethrinus","rubrioperculatus",37351012,1,"Lethrinus rubrioperculatus","Oct_21_Ashmore_4_D16","4/11/2021",10.24494,144.56874,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_4","D16",38750,"32",NA,"Mullidae","Parupeneus","barberinus",37355022,1,"Parupeneus barberinus","Oct_21_Ashmore_4_D16","4/11/2021",10.24494,144.56874,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_4","D17",48322,"38",NA,"Balistidae","Pseudobalistes","flavimarginatus",37465071,1,"Pseudobalistes flavimarginatus","Oct_21_Ashmore_4_D17","4/11/2021",10.24807,144.56555,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_4","D17",24319,"38",NA,"Carangidae","Carangoides","ferdau",37337068,10,"Carangoides ferdau","Oct_21_Ashmore_4_D17","4/11/2021",10.24807,144.56555,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_4","D17",21726,"38",NA,"Carcharhinidae","Carcharhinus","albimarginatus",37018027,1,"Carcharhinus albimarginatus","Oct_21_Ashmore_4_D17","4/11/2021",10.24807,144.56555,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_4","D17",33107,"38",NA,"Carcharhinidae","Carcharhinus","amblyrhynchos",37018030,3,"Carcharhinus amblyrhynchos","Oct_21_Ashmore_4_D17","4/11/2021",10.24807,144.56555,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_4","D17",39186,"38",NA,"Lethrinidae","Gymnocranius","grandoculis",37351005,1,"Gymnocranius grandoculis","Oct_21_Ashmore_4_D17","4/11/2021",10.24807,144.56555,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_5","D19",32151,"26",NA,"Acanthuridae","Acanthurus","blochii",37437007,1,"Acanthurus blochii","Oct_21_Ashmore_5_D19","5/11/2021",10.43326,144.45274,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_5","D19",33153,"26",NA,"Balistidae","Pseudobalistes","flavimarginatus",37465071,1,"Pseudobalistes flavimarginatus","Oct_21_Ashmore_5_D19","5/11/2021",10.43326,144.45274,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_5","D19",32341,"26",NA,"Carcharhinidae","Carcharhinus","amblyrhynchos",37018030,1,"Carcharhinus amblyrhynchos","Oct_21_Ashmore_5_D19","5/11/2021",10.43326,144.45274,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_5","D19",52642,"26",NA,"Labridae","Thalassoma","lunare",37384167,1,"Thalassoma lunare","Oct_21_Ashmore_5_D19","5/11/2021",10.43326,144.45274,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_5","D19",30495,"26","superciliosus","Lethrinidae","Gymnocranius","superciliosus",NA,1,"Gymnocranius superciliosus","Oct_21_Ashmore_5_D19","5/11/2021",10.43326,144.45274,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_5","D19",7268,"26",NA,"Lethrinidae","Lethrinus","semicinctus",37351016,2,"Lethrinus semicinctus","Oct_21_Ashmore_5_D19","5/11/2021",10.43326,144.45274,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_5","D19",7762,"26",NA,"Nemipteridae","Scolopsis","affinis",37347030,1,"Scolopsis affinis","Oct_21_Ashmore_5_D19","5/11/2021",10.43326,144.45274,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_5","D19",24692,"26",NA,"Serranidae","Plectropomus","laevis",37311079,1,"Plectropomus laevis","Oct_21_Ashmore_5_D19","5/11/2021",10.43326,144.45274,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_5","D20",34219,"23",NA,"Acanthuridae","Acanthurus","pyroferus",37437017,2,"Acanthurus pyroferus","Oct_21_Ashmore_5_D20","5/11/2021",10.43713,144.45079,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_5","D20",12453,"23",NA,"Acanthuridae","Acanthurus","thompsoni",37437018,1,"Acanthurus thompsoni","Oct_21_Ashmore_5_D20","5/11/2021",10.43713,144.45079,"lagoon",NA,NA
"Oct_21","Ashmore","Ashmore_5","D20",46745,"23",NA,"Acanthuridae","Naso","lituratus",37437029,1,"Naso lituratus","Oct_21_Ashmore_5_D20","5/11/2021",10.43713,144.45079,"lagoon",NA,NA
