"Species_name","Depth","DepthRangeDeep","Reef","Site","Method","Trophic Group","Functional Group","depth_increase"
"Scarus oviceps",37.1,20,"Herald","Herald_1","ROV","herbivore-detritivore","Scraper",17.1
"Hemigymnus fasciatus",42,25,"Willis","Willis_N1","ROV","invertivore-mobile","Benthic invertivore",17
"Scarus dimidiatus",42,25,"Willis","Willis_N1","ROV","herbivore-detritivore","Scraper",17
"Centropyge vrolikii",41.7,25,"Herald","Herald_1","ROV","herbivore-detritivore","Grazer",16.7
"Thalassoma hardwicke",31.5,15,"Wreck","Wreck_E1","ROV","invertivore-mobile","Carnivore",16.5
"Chromis ternatensis",52.3,36,"Willis","Willis_N1","ROV","planktivore","Planktivore",16.3
"Thalassoma lutescens",46.2,30,"Lihou","Lihou_S1","ROV","invertivore-mobile","Carnivore",16.2
"Halichoeres biocellatus",51,35,"Willis","Willis_1","BRUV","invertivore-mobile","Benthic invertivore",16
"Hoplolatilus marcosi",96,80,"Lihou","EdnaCay_1","ROV","planktivore","Planktivore",16
"Genicanthus watanabei",96,81,"Lihou","EdnaCay_1","ROV","planktivore","Omnivore",15
"Naso caesius",65,50,"Wreck","Wreck_W1","BRUV","planktivore","Planktivore",15
"Pseudanthias hypselosoma",65,50,"Wreck","Wreck_W1","BRUV","planktivore","Planktivore",15
"Scarus rubroviolaceus",51,36,"Holmes","Holmes_1","BRUV","herbivore-detritivore","Scraper",15
"Arothron mappa",44.8,30,"Willis","Willis_N1","ROV","omnivore","Benthic invertivore",14.8
"Chromis weberi",54.7,40,"Bougainville","BVille_1","ROV","planktivore","Planktivore",14.7
"Naso brachycentron",44,30,"Chilcott","Chilcott_1","BRUV","herbivore-macroalgae","Browser",14
"Nemateleotris magnifica",84,70,"Osprey","Osp_N1","ROV","planktivore","Planktivore",14
"Anampses femininus",43.3,30,"Flinders","Flinders_N1","ROV","invertivore-mobile","Benthic invertivore",13.3
"Hipposcarus longiceps",53,40,"Wreck","Wreck_W1","BRUV","omnivore","Scraper",13
"Meiacanthus atrodorsalis",42.3,30,"Willis","Willis_N1","ROV","invertivore-mobile","Omnivore",12.3
"Scarus flavipectoralis",52.3,40,"Willis","Willis_N1","ROV","herbivore-detritivore","Scraper",12.3
"Anampses neoguinaicus",42,30,"Kenn","Kenn_1","BRUV","invertivore-mobile","Benthic invertivore",12
"Anampses twistii",42,30,"Willis","Willis_N1","ROV","invertivore-mobile","Benthic invertivore",12
"Balistapus undulatus",62,50,"Willis","Willis_1","BRUV","invertivore-mobile","Benthic invertivore",12
"Bodianus bimaculatus",72,60,"Kenn","Kenn_1","BRUV","invertivore-mobile","Benthic invertivore",12
"Chaetodon trifascialis",42,30,"Kenn","Kenn_1","BRUV","invertivore-sessile","Corallivore",12
"Chaetodon ulietensis",42,30,"Kenn","Kenn_1","BRUV","invertivore-sessile","Corallivore",12
"Gymnocranius microdon",62,50,"Willis","Willis_1","BRUV","invertivore-mobile","Benthic invertivore",12
"Naso tonganus",52,40,"Herald","Herald_1","BRUV","herbivore-macroalgae","Browser",12
"Cheilinus fasciatus",71.6,60,"Osprey","Osp_N1","ROV","invertivore-mobile","Benthic invertivore",11.6
"Plectropomus areolatus",31.2,20,"Holmes","Holmes_2","ROV","piscivore","Piscivore",11.2
"Coris dorsomacula",51,40,"Lihou","Lihou_N1","BRUV","invertivore-mobile","Benthic invertivore",11
"Halichoeres hartzfeldii",81,70,"Herald","Herald_1","BRUV","invertivore-mobile","Benthic invertivore",11
"Amblyglyphidodon aureus",55.6,45,"Lihou","Lihou_N1","ROV","planktivore","Planktivore",10.6
"Chaetodon flavirostris",40.4,30,"Herald","Herald_1","ROV","invertivore-sessile","Corallivore",10.4
"Pomacanthus semicirculatus",50.1,40,"Lihou","Lihou_N1","ROV","invertivore-sessile","Benthic invertivore",10.1
"Chaetodon vagabundus",40,30,"Lihou","Lihou_N1","ROV","invertivore-mobile","Omnivore",10
"Coris pictoides",65,55,"Wreck","Wreck_W1","BRUV","invertivore-mobile","Benthic invertivore",10
"Dascyllus trimaculatus",65,55,"Wreck","Wreck_W1","BRUV","planktivore","Omnivore",10
"Labropsis australis",65,55,"Wreck","Wreck_W1","BRUV","invertivore-sessile","Benthic invertivore",10
"Pomacentrus pavo",28,18,"Ashmore","Ashmore_1","BRUV","planktivore","Planktivore",10
"Macropharyngodon meleagris",39.6,30,"Herald's Surprise","HerSurp_1","ROV","invertivore-mobile","Benthic invertivore",9.6
"Cirrhilabrus exquisitus",49.3,40,"Lihou","JulCay_1","ROV","planktivore","Planktivore",9.3
"Acanthurus olivaceus",55.2,46,"Lihou","Lihou_N1","ROV","herbivore-detritivore","Grazer",9.2
"Halichoeres melasmapomus",65,56,"Wreck","Wreck_W1","BRUV","invertivore-mobile","Benthic invertivore",9
