Filename,Period,Length_mm,OpCode,Family,Genus,Species,Number,Comment,
PL_L_CHIL_13-2-21_P02.MP4,T1,37.45,Chilcott_Feb21,Scaridae,Scarus,sp,1,,
PL_L_CHIL_13-2-21_P02.MP4,T1,,Chilcott_Feb21,,,,1,,cucumber
