Filename,Frame,Time (HMS),Period,Period time (HMS),Length (mm),Precision (mm),RMS (mm),Range (mm),Direction (deg),Horz. Dir. (deg),Vert. Dir. (deg),Mid X (mm),Mid Y (mm),Mid Z (mm),OpCode,TapeReader,Depth,Family,Genus,Species,Code,Number,Stage,Activity,Comment
PL_L_WRECK_W_7-2-21_P02.MP4,3757,12:06.0,T1,02:05.4,156.428,88.359,27.592,4949.614,20.9,63.626,46.879,-1764.525,65.701,-4623.939,Wreck_East_07022021,GFG,30-37m,Zanclidae,Zanclus,cornutus,37437001,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,3948,12:12.3,T1,02:11.7,92.298,5.822,23.178,1731.385,8.903,33.658,62.623,-49.525,-263.336,-1710.525,Wreck_East_07022021,GFG,30-37m,Chaetodontidae,Chaetodon,lunulatus,37365059,2,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,3987,12:13.6,T1,02:13.0,84.834,9.893,17.489,2100.95,18.076,26.431,52.488,226.354,-611.333,-1997.255,Wreck_East_07022021,GFG,30-37m,Acanthuridae,Zebrasoma,scopas,37437036,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,4106,12:17.6,T1,02:17.0,86.442,9.135,7.355,1878.994,26.681,20.412,16.696,631.512,-559.502,-1678.919,Wreck_East_07022021,GFG,30-37m,Pomacanthidae,Genicanthus,,,5,AD,Passing,watanabei
PL_L_WRECK_W_7-2-21_P02.MP4,4881,12:43.5,T1,02:42.9,55.492,14142.136,0,1088.252,17.334,67.3,17.269,320.388,-49.773,1038.829,Wreck_East_07022021,GFG,30-37m,Pomacentridae,Chromis,,,1,AD,Passing,xanthura
PL_L_WRECK_W_7-2-21_P02.MP4,4904,12:44.2,T1,02:43.6,129.357,14142.135,0,1698.827,29.078,13.629,30.76,566.255,-600.836,1484.71,Wreck_East_07022021,GFG,30-37m,Caesionidae,Pterocaesio,tile,37346063,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,4904,12:44.2,T1,02:43.6,231.176,14142.135,0,1584.74,27.928,47.874,27.986,538.347,-510.973,1400.175,Wreck_East_07022021,GFG,30-37m,Caesionidae,Pterocaesio,tile,37346063,1,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,5093,12:50.5,T1,02:49.9,321.376,12.381,35.383,1648.985,7.097,44.758,14.25,-156.145,130.876,-1636.35,Wreck_East_07022021,GFG,30-37m,Caesionidae,Caesio,lunaris,37346061,45,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,5093,12:50.5,T1,02:49.9,118.657,5.935,53.053,1198.401,38.661,84.6,2.385,709.276,-239.613,-935.777,Wreck_East_07022021,GFG,30-37m,Caesionidae,Pterocaesio,tile,37346063,15,AD,Passing,
PL_L_WRECK_W_7-2-21_P02.MP4,5175,12:53.3,T1,02:52.7,343.274,14142.136,0,204.457,27.26,62.165,4.647,92.095,-16.981,181.75,Wreck_East_07022021,GFG,30-37m,Caesionidae,Caesio,lunaris,37346061,30,AD,Passing,
