"Survey","Reef","Site","Transect","Length_mm","Family","Genus","Species","Number","Comment","T_ID"
NA,"Bougainville","BVille_1","T6",68.257,"Pomacentridae","Acanthochromis","polyacanthus",12,NA,"NA_BVille_1_T6"
NA,"Bougainville","BVille_1","T6",206.912,"Holocentridae","Myripristis","sp",1,NA,"NA_BVille_1_T6"
NA,"Bougainville","BVille_1","T6",63.173,"Pomacentridae","Chromis","amboinensis",10,NA,"NA_BVille_1_T6"
NA,"Bougainville","BVille_1","T6",122.594,"Serranidae","Pseudanthias","pleurotaenia",6,NA,"NA_BVille_1_T6"
NA,"Bougainville","BVille_1","T6",144.618,"Holocentridae","Myripristis","sp",4,NA,"NA_BVille_1_T6"
NA,"Bougainville","BVille_1","T6",88.391,"Holocentridae","Myripristis","vittata",3,NA,"NA_BVille_1_T6"
NA,"Bougainville","BVille_1","T6",116.331,"Holocentridae","Myripristis","sp",3,NA,"NA_BVille_1_T6"
NA,"Bougainville","BVille_1","T6",252.392,"Lethrinidae","Monotaxis","grandoculis",1,NA,"NA_BVille_1_T6"
NA,"Bougainville","BVille_1","T7",103.746,"Chaetodontidae","Forcipiger","flavissimus",2,NA,"NA_BVille_1_T7"
NA,"Bougainville","BVille_1","T7",300.061,"Labridae","Oxycheilinus","unifasciatus",1,NA,"NA_BVille_1_T7"
NA,"Bougainville","BVille_1","T7",203.712,"Acanthuridae","Acanthurus","thompsoni",3,NA,"NA_BVille_1_T7"
NA,"Bougainville","BVille_1","T7",142.578,"Acanthuridae","Acanthurus","thompsoni",4,NA,"NA_BVille_1_T7"
NA,"Bougainville","BVille_1","T7",62.646,"Pomacentridae","Chromis","iomelas",12,NA,"NA_BVille_1_T7"
NA,"Bougainville","BVille_1","T7",114.976,"Serranidae","Pseudanthias","pleurotaenia",8,NA,"NA_BVille_1_T7"
NA,"Bougainville","BVille_1","T8",51.64,"Pomacentridae","Chromis","iomelas",6,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",171.102,"Labridae","Oxycheilinus","unifasciatus",1,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",180.3,"Labridae","Bodianus","anthioides",1,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",157.056,"Pomacanthidae","Genicanthus","melanospilos",8,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",73.134,"Pomacanthidae","Paracentropyge","multifasciata",1,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",43.598,"Pomacentridae","Chromis","amboinensis",16,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",65.446,"Pomacentridae","Chromis","iomelas",20,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",65.817,"Pomacentridae","Chromis","alpha",12,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",67.47,"Pomacentridae","Chromis","alpha",12,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",48.326,"Pomacentridae","Chromis","iomelas",12,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",63.324,"Pomacentridae","Chromis","amboinensis",10,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",88.254,"Pomacentridae","Chromis","alpha",16,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",90.745,"Labridae","Labroides","dimidiatus",1,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",174.769,"Serranidae","Cephalopholis","leopardus",1,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",64.114,"Pomacentridae","Chromis","amboinensis",18,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",151.418,"Acanthuridae","Acanthurus","thompsoni",4,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",117.294,"Malacanthidae","Hoplolatilus","starcki",1,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",76.744,"Pomacentridae","Chromis","iomelas",5,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",54.239,"Pomacentridae","Chromis","amboinensis",14,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",112.369,"Pomacentridae","Chromis","xanthochira",2,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",79.799,"Pomacentridae","Chromis","alpha",6,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",104.644,"Pomacentridae","Chromis","alpha",8,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",119.509,"Chaetodontidae","Chaetodon","mertensii",1,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",133.829,"Pomacanthidae","Genicanthus","watanabei",1,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",141.109,"Pomacanthidae","Genicanthus","watanabei",1,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",150.565,"Chaetodontidae","Forcipiger","flavissimus",1,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",119.721,"Pomacentridae","Acanthochromis","polyacanthus",12,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",123.445,"Acanthuridae","Acanthurus","thompsoni",6,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",91.69,"Pomacanthidae","Centropyge","bispinosa",1,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",121.128,"Pomacentridae","Chromis","xanthochira",4,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",115.634,"Chaetodontidae","Forcipiger","flavissimus",1,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T8",392.482,"Lutjanidae","Lutjanus","bohar",1,NA,"NA_BVille_1_T8"
NA,"Bougainville","BVille_1","T9",92.221,"Pomacanthidae","Genicanthus","melanospilos",4,NA,"NA_BVille_1_T9"
NA,"Bougainville","BVille_1","T9",135.386,"Chaetodontidae","Forcipiger","flavissimus",3,NA,"NA_BVille_1_T9"
NA,"Bougainville","BVille_1","T9",49.569,"Pomacentridae","Chromis","iomelas",12,NA,"NA_BVille_1_T9"
NA,"Bougainville","BVille_1","T9",79.638,"Pomacentridae","Chromis","alpha",6,NA,"NA_BVille_1_T9"
NA,"Bougainville","BVille_1","T9",38.997,"Pomacentridae","Chromis","amboinensis",8,NA,"NA_BVille_1_T9"
NA,"Bougainville","BVille_1","T9",123.473,"Pomacentridae","Acanthochromis","polyacanthus",8,NA,"NA_BVille_1_T9"
NA,"Bougainville","BVille_1","T9",60.12,"Pomacentridae","Chromis","amboinensis",10,NA,"NA_BVille_1_T9"
NA,"Bougainville","BVille_1","T9",147.01,"Labridae","Gomphosus","varius",1,NA,"NA_BVille_1_T9"
NA,"Bougainville","BVille_1","T9",107.617,"Chaetodontidae","Forcipiger","flavissimus",1,NA,"NA_BVille_1_T9"
NA,"Bougainville","BVille_1","T9",62.412,"Pomacentridae","Chrysiptera","starcki",4,NA,"NA_BVille_1_T9"
