Species,Southern,Central,Northern,Cryptobenthic
Chrysiptera biocellata,1,1,1,
Chrysiptera brownriggii,,1,1,
Chrysiptera flavipinnis,,1,,
Chrysiptera glauca,1,,,
Chrysiptera rollandi,,1,,1
Chrysiptera talboti,,,1,
Chrysiptera taupou,1,1,1,1
Cirrhilabrus exquisitus ,1,1,1,
Cirrhilabrus laboutei,1,1,,1
Cirrhilabrus lineatus,,1,,
Cirrhilabrus punctatus,1,1,1,1
Cirrhilabrus scottorum,1,1,1,
Cirrhitichthys falco,1,1,,1
Cirrhitichthys oxycephalus,,,1,
Cirrhitus pinnulatus,1,,,
Cirripectes castaneus,,1,1,1
Cirripectes filamentosus,,,,1
Cirripectes stigmaticus,1,1,,1
Coris aygula ,1,1,1,
Coris batuensis,,,1,1
Coris dorsomacula,1,1,,
Coris gaimard ,1,1,1,
Cosmocampus banneri,,,,1
Crossosalarias macrospilus,,,,1
Ctenochaetus binotatus,1,1,1,
Ctenochaetus cyanocheilus,1,1,1,
Ctenochaetus striatus ,1,1,1,
Ctenogobiops pomastictus,,,,1
Cypho purpurascens,1,1,1,1
Dascyllus aruanus,1,,,
Dascyllus reticulatus ,1,1,1,1
Dascyllus trimaculatus ,1,1,1,
Dasyatis kuhlii,,1,,
Decapterus macarellus,,1,,
Dinematichthys ilucoetiodes,,,,1
Dinematichthys sp.?,,,,1
Diodon hystrix,,1,,
Diplogrammus goramensis,,,,1
Dischistodus melanotus,1,,,
Dischistodus prosopotaenia *,,,1,
Dischistodus pseudochrysopoecilus,1,,,
Doryrhamphus melanopleura,,,,1
Doryrhamphus sp.,,,,1
Echeneis naucrates,1,1,1,
Echidna polyzona,,,,1
Ecsenius bicolor,,,1,
Ecsenius fourmanoiri,1,,,
Ecsenius stictus,,,,1
Ecsenius tigris,,,,1
Elegatis bipinnulata,,1,1,
Encheliophis homei?,,,,1
Enneapterygius atrogulare?,,,,1
Enneapterygius flavoccipitis,,,,1
Enneapterygius sp.,,,,1
Enneapterygius sp. 1,,,,1
Enneapterygius sp. 1,,,,1
Enneapterygius tutuilae,,,,1
Epibulus insidiator ,1,1,1,
Epinephelus coioides,,1,,
Epinephelus cyanopodus,1,,,
Epinephelus fasciatus,1,,1,
Epinephelus fuscoguttatus,,,1,
Epinephelus hexagonatus,1,1,1,
Epinephelus howlandensis,1,,,
Epinephelus lanceolatus,,1,,
Epinephelus merra,1,1,1,
Epinephelus polyphekadion,1,1,1,
Epinephelus quoyanus,,1,,
Epinephelus tauvina,,1,,
Epinephelus tukula,,,1,
Euthynnus affinis,1,,,
Eviota afelei,,,,1
Eviota ancora,,,,1
Eviota atriventris,,,,1
Eviota cf. teresae,,,,1
Eviota cometa,,,,1
Eviota distigma,,,,1
Eviota fallax,,,,1
Eviota fasciola,,,,1
Eviota flebilis,,,,1
Eviota guttata,,1,,
Eviota herrei,,,,1
Eviota infulata,,,,1
Eviota latifasciata,,,,1
Eviota melanosphena,,,,1
Eviota melasma,,,,1
Eviota monostigma,,,,1
Eviota nebulosa,,,,1
Eviota occasa,,,,1
Eviota prasites,1,,,1
Eviota punctulata,,,,1
Eviota queenslandica,,,,1
Eviota readeri,,,,1
Eviota sigillata,,,,1
Eviota singula,,,,1
Eviota sp.,,,,1
Eviota sp. 1,,,,1
Eviota sp. 1a,,,,1
Eviota sp. 1b,,,,1
Eviota sp. 3,,,,1
Eviota sp. 4,,,,1
Eviota sp. 5,,,,1
Eviota sparsa,,,,1
Eviota specca,,,,1
Eviota variola,,,,1
Eviota zebrina,,,,1
Exallias brevis,1,1,,
Fistularia commersonii,1,1,1,
Forcipiger flavissimus ,1,1,1,
Forcipiger longirostris,1,1,1,
Fowleria aurita,,,,1
Fowleria vaiulae,,,,1
Fusigobius gracilis,,,,1
Fusigobius humeralis,,,,1
Fusigobius neophytus,,,,1
Fusigobius sp.,,,,1
Galeocerdo cuvier,1,,,
Genicanthus melanospilos,,1,1,
Genicanthus watanabei,,1,,
Glyptoparus delicatulus,,,,1
Gnathanodon speciosus,1,,,
Gnathodentex aureolineatus ,1,1,1,
Gnatholepis cauerensis,,1,,1
Gnatholepis sp.,,,,1
gobiid sp.,,,,1
Gobiodon prolixus,,,,1
Gobiodon quinquestrigatus,,,,1
Gobiodon rivulatus,,,,1
Gomphosus varius ,1,1,1,
Gracila albomarginata ,,,1,
Grammistes sexlineatus,,1,1,
Gymnapogon philippinus,,,,1
Gymnapogon sp.,,,,1
Gymnocranius euanus,1,1,,
Gymnocranius grandoculis,,,1,
Gymnocranius microdon,1,1,,
Gymnosarda unicolor ,1,1,1,
Gymnothorax favagineus,,1,,
Gymnothorax flavimarginatus,,,,1
Gymnothorax fuscomaculatus,,,,1
Gymnothorax gracilicauda,,,,1
Gymnothorax javanicus ,1,1,1,
Gymnothorax meleagris,1,,,
Gymnothorax sp.,,,,1
Gymnothorax zonipectis,,,,1
Halicampus dunckeri,,,,1
Halichoeres biocellatus,1,1,1,1
Halichoeres chrysus ,,,1,
Halichoeres hortulanus,1,1,1,
Halichoeres margaritaceus ,1,1,1,
Halichoeres marginatus,1,1,1,
Halichoeres melanurus,,,1,1
Halichoeres nebulosus,1,,,
Halichoeres ornatissimus,1,1,1,
Halichoeres prosopeion,,1,1,
Halichoeres trimaculatus ,1,1,1,1
Helcogramma sp.,,,,1
Helcogramma striatum,,,,1
Hemiglyphidodon plagiometopon *,,,1,
Hemigymnus fasciatus ,1,1,1,
Hemitaurichthys polylepis ,1,1,1,
Heniochus acuminatus,,1,1,
Heniochus chrysostomus ,1,1,1,
Heniochus monoceros,1,1,1,
Heniochus singularis *,,1,1,
Heniochus varius,1,1,1,
Heteropriacanthus carolinus,,,,1
Heteropriacanthus cruentatus,,,1,
Himantura fai,,1,,
Hipposcarus longiceps,1,1,1,
Hologymnosus annulatus,1,1,1,
Hologymnosus doliatus,1,1,,
Hoplolatilus starcki,,,1,
Iniistius pavo,1,,,
Kaupichthys brachychirus,,,,1
Kyphosus bigibbus,1,,,
Kyphosus cinerascens,1,1,1,
Kyphosus vaigiensis,1,1,1,
Labrichthys unilineatus ,,,1,1
labrid sp. ,,,,1
Labroides bicolor ,1,1,1,
Labroides dimidiatus ,1,1,1,1
Labroides pectoralis,1,,1,
